"","year","low","central","high"
"103",2102,410.965596837273,821.931193674546,1232.89679051182
"104",2103,417.155428703119,834.310857406238,1251.46628610936
"105",2104,423.438489829083,846.876979658165,1270.31546948725
"106",2105,429.816184404346,859.632368808693,1289.44855321304
"107",2106,436.289937767541,872.579875535081,1308.86981330262
"108",2107,442.861196725283,885.722393450566,1328.58359017585
"109",2108,449.531429875535,899.062859751069,1348.5942896266
"110",2109,456.302127935801,912.604255871601,1368.9063838074
"111",2110,463.1748040763,926.349608152601,1389.5244122289
"112",2111,470.150994258136,940.301988516272,1410.45298277441
"113",2112,477.232257576559,954.464515153118,1431.69677272968
"114",2113,484.420176609417,968.840353218833,1453.26052982825
"115",2114,491.716357770836,983.432715541673,1475.14907331251
"116",2115,499.122431670234,998.244863340468,1497.3672950107
"117",2116,506.640053476748,1013.2801069535,1519.92016043025
"118",2117,514.270903289136,1028.54180657827,1542.81270986741
"119",2118,522.016686511269,1044.03337302254,1566.05005953381
"120",2119,529.879134233262,1059.75826846652,1589.63740269979
"121",2120,537.86000361835,1075.7200072367,1613.58001085505
"122",2121,545.961078295602,1091.9221565912,1637.88323488681
"123",2122,554.184168758534,1108.36833751707,1662.5525062756
"124",2123,562.53111276973,1125.06222553946,1687.59333830919
"125",2124,571.003775771569,1142.00755154314,1713.01132731471
"126",2125,579.604051303119,1159.20810260624,1738.81215390936
"127",2126,588.33386142333,1176.66772284666,1765.00158426999
"128",2127,597.195157140588,1194.39031428118,1791.58547142176
"129",2128,606.189918848733,1212.37983769747,1818.5697565462
"130",2129,615.320156769668,1230.64031353934,1845.960470309
"131",2130,624.587911402615,1249.17582280523,1873.76373420784
"132",2131,633.99525398013,1267.99050796026,1901.98576194039
"133",2132,643.54428693102,1287.08857386204,1930.63286079306
"134",2133,653.23714435019,1306.47428870038,1959.71143305057
"135",2134,663.075992475604,1326.15198495121,1989.22797742681
"136",2135,673.063030172408,1346.12606034482,2019.18909051722
"137",2136,683.200489424338,1366.40097884868,2049.60146827301
"138",2137,693.490635832566,1386.98127166513,2080.4719074977
"139",2138,703.93576912201,1407.87153824402,2111.80730736603
"140",2139,714.538223655314,1429.07644731063,2143.61467096594
"141",2140,725.300368954542,1450.60073790908,2175.90110686363
"142",2141,736.224610230731,1472.44922046146,2208.67383069219
"143",2142,747.313388921444,1494.62677784289,2241.94016676433
"144",2143,758.569183236387,1517.13836647277,2275.70754970916
"145",2144,769.994508711273,1539.98901742255,2309.98352613382
"146",2145,781.591918769988,1563.18383753998,2344.77575630996
"147",2146,793.364005295286,1586.72801059057,2380.09201588586
"148",2147,805.313399208021,1610.62679841604,2415.94019762406
"149",2148,817.442771055133,1634.88554211027,2452.3283131654
"150",2149,829.754831606487,1659.50966321297,2489.26449481946
"151",2150,842.252332460676,1684.50466492135,2526.75699738203
"152",2151,854.938066660007,1709.87613332001,2564.81419998002
"153",2152,867.814869314685,1735.62973862937,2603.44460794406
"154",2153,880.885618236437,1761.77123647287,2642.65685470931
"155",2154,894.153234581664,1788.30646916333,2682.45970374499
"156",2155,907.620683504294,1815.24136700859,2722.86205051288
"157",2156,921.290974818433,1842.58194963687,2763.8729244553
"158",2157,935.167163671059,1870.33432734212,2805.50149101318
"159",2158,949.252351224787,1898.50470244957,2847.75705367436
"160",2159,963.549685350946,1927.09937070189,2890.64905605284
