"year","temp_path","scc"
"2466",1.677970645,185857.468001426
"2467",1.677970645,189017.042547867
"2468",1.677970645,192230.329788215
"2469",1.677970645,195498.242836031
"2470",1.677970645,198821.710327739
"2471",1.677970645,202201.676686513
"2472",1.677970645,205639.102390647
"2473",1.677970645,209134.964246493
"2474",1.677970645,212690.255666033
"2475",1.677970645,216305.986949175
"2476",1.677970645,219983.185570843
"2477",1.677970645,223722.896472949
"2478",1.677970645,227526.182361336
"2479",1.677970645,231394.124007752
"2480",1.677970645,235327.820556975
"2481",1.677970645,239328.389839151
"2482",1.677970645,243396.968687437
"2483",1.677970645,247534.713261057
"2484",1.677970645,251742.799373838
"2485",1.677970645,256022.422828331
"2486",1.677970645,260374.799755626
"2487",1.677970645,264801.166960925
"2488",1.677970645,269302.782275001
"2489",1.677970645,273880.924911633
"2490",1.677970645,278536.895831107
"2491",1.677970645,283272.018109907
"2492",1.677970645,288087.637316688
"2493",1.677970645,292985.121894632
"2494",1.677970645,297965.863550319
"2495",1.677970645,303031.277649195
"2496",1.677970645,308182.803617771
"2497",1.677970645,313421.905352654
"2498",1.677970645,318750.071636538
"2499",1.677970645,324168.816561258
"2500",1.677970645,329679.679958046
"2501",1.677970645,335284.227835089
"2502",1.677970645,340984.052822537
"2503",1.677970645,346780.774625069
"2504",1.677970645,352676.040482156
"2505",1.677970645,358671.525636143
"2506",1.677970645,364768.933808298
"2507",1.677970645,370969.99768294
"2508",1.677970645,377276.479399812
"2509",1.677970645,383690.171054812
"2510",1.677970645,390212.895209242
"2511",1.677970645,396846.505407713
"2512",1.677970645,403592.886704856
"2513",1.677970645,410453.956200981
"2514",1.677970645,417431.663586852
"2515",1.677970645,424527.99169771
"2516",1.677970645,431744.957076726
"2517",1.677970645,439084.610548028
"2518",1.677970645,446549.037799462
"2519",1.677970645,454140.359975276
"2520",1.677970645,461860.734278864
"2521",1.677970645,469712.354585762
"2522",1.677970645,477697.452067067
"2523",1.677970645,485818.295823454
"2524",1.677970645,494077.193529959
"2525",1.677970645,502476.492091744
"2526",1.677970645,511018.578310993
"2527",1.677970645,519705.87956515
"2528",1.677970645,528540.864496688
"2529",1.677970645,537526.043714602
"2530",1.677970645,546663.970507829
"2531",1.677970645,555957.241570795
"2532",1.677970645,565408.497741289
"2533",1.677970645,575020.424750898
"2534",1.677970645,584795.753988178
"2535",1.677970645,594737.263274813
"2536",1.677970645,604847.777654962
"2537",1.677970645,615130.17019803
"2538",1.677970645,625587.362815073
"2539",1.677970645,636222.327089101
"2540",1.677970645,647038.085119474
"2541",1.677970645,658037.710380674
"2542",1.677970645,669224.328595655
"2543",1.677970645,680601.118624055
"2544",1.677970645,692171.313365497
"2545",1.677970645,703938.200678256
"2546",1.677970645,715905.124313527
"2547",1.677970645,728075.484865594
"2548",1.677970645,740452.740738137
"2549",1.677970645,753040.409126965
"2550",1.677970645,765842.067019473
"2551",1.677970645,778861.352211065
"2552",1.677970645,792101.964338868
"2553",1.677970645,805567.665933025
"2554",1.677970645,819262.283485839
"2555",1.677970645,833189.708539117
"2556",1.677970645,847353.898789971
"2557",1.677970645,861758.879215447
"2558",1.677970645,876408.743216241
"2559",1.677970645,891307.653779876
"2560",1.677970645,906459.84466366
"2561",1.677970645,921869.621597723
"2562",1.677970645,937541.363508531
"2563",1.677970645,953479.5237632
"2564",1.677970645,969688.631434939
"2565",1.677970645,986173.292590022
"2566",1.677970645,1002938.19159665
"2567",1.677970645,1019988.09245602
"2568",1.677970645,1037327.84015606
"2569",1.677970645,1054962.36204819
"2570",1.677970645,1072896.6692474
"2571",1.677970645,1091135.85805627
"2572",1.677970645,1109685.11141303
"2573",1.677970645,1128549.7003644
"2574",1.677970645,1147734.98556332
"2575",1.677970645,1167246.41879226
"2576",1.677970645,1187089.54451237
"2577",1.677970645,1207270.00143891
"2578",1.677970645,1227793.52414361
"2579",1.677970645,1248665.9446841
"2580",1.677970645,1269893.19426114
"2581",1.677970645,1291481.30490402
"2582",1.677970645,1313436.41118457
"2583",1.677970645,1335764.75196031
