"year","var","val","n_sim","started"
1992,"additionality",-18220.0498906076,3,FALSE
1993,"project",-40187.9663014412,3,FALSE
1993,"counterfactual",-24293.3998541534,3,FALSE
1993,"additionality",-15894.5664472878,3,FALSE
1994,"project",-42513.4497447312,3,FALSE
1994,"counterfactual",-96270.4990501553,3,FALSE
1994,"additionality",53757.0493054241,3,FALSE
1995,"project",-94848.1159732342,3,FALSE
1995,"counterfactual",-137361.565717965,3,FALSE
1995,"additionality",42513.4497447312,3,FALSE
1996,"project",-131807.498465046,3,FALSE
1996,"counterfactual",-148605.165278688,3,FALSE
1996,"additionality",16797.6668136418,3,FALSE
1997,"project",-109695.085995585,3,FALSE
1997,"counterfactual",-162174.248282716,3,FALSE
1997,"additionality",52479.162287131,3,FALSE
1998,"project",-454214.329242885,3,FALSE
1998,"counterfactual",-348122.613708913,3,FALSE
1998,"additionality",-106091.715533972,3,FALSE
1999,"project",-420099.71290496,3,FALSE
1999,"counterfactual",-382237.230046809,3,FALSE
1999,"additionality",-37862.4828581512,3,FALSE
2000,"project",-560017.052659631,3,FALSE
2000,"counterfactual",-277567.897589833,3,FALSE
2000,"additionality",-282449.155069798,3,FALSE
2001,"project",-179875.015462652,3,FALSE
2001,"counterfactual",-367620.550617844,3,FALSE
2001,"additionality",187745.535155192,3,FALSE
2002,"project",-120563.898904324,3,FALSE
2002,"counterfactual",-88716.0644858778,3,FALSE
2002,"additionality",-31847.8344184458,3,FALSE
2003,"project",-235284.738438487,3,FALSE
2003,"counterfactual",-256494.050541624,3,FALSE
2003,"additionality",21209.3121031374,3,FALSE
2004,"project",-161126.651857778,3,FALSE
2004,"counterfactual",-242635.975420401,3,FALSE
2004,"additionality",81509.3235626221,3,FALSE
2005,"project",-147268.57673654,3,FALSE
2005,"counterfactual",-384034.399775803,3,FALSE
2005,"additionality",236765.823039263,3,FALSE
2006,"project",-295404.129824713,3,FALSE
2006,"counterfactual",-272627.938586026,3,FALSE
2006,"additionality",-22776.1912386864,3,FALSE
2007,"project",-508585.486797437,3,FALSE
2007,"counterfactual",-270446.951201335,3,FALSE
2007,"additionality",-238138.535596102,3,FALSE
2008,"project",-187456.543037966,3,TRUE
2008,"counterfactual",-130096.123270869,3,TRUE
2008,"additionality",-57360.4197670966,3,TRUE
2009,"project",-141859.005542234,3,TRUE
2009,"counterfactual",-241358.088402048,3,TRUE
2009,"additionality",99499.0828598142,3,TRUE
2010,"project",-116901.82691887,3,TRUE
2010,"counterfactual",-320167.141869351,3,TRUE
2010,"additionality",203265.314950481,3,TRUE
2011,"project",-169380.989206016,3,TRUE
2011,"counterfactual",-148632.25828968,3,TRUE
2011,"additionality",-20748.7309163362,3,TRUE
2012,"project",-379758.219541222,3,TRUE
2012,"counterfactual",-161356.942451164,3,TRUE
2012,"additionality",-218401.277090058,3,TRUE
2013,"project",-391385.636757687,3,TRUE
2013,"counterfactual",-226366.622321054,3,TRUE
2013,"additionality",-165019.014436632,3,TRUE
2014,"project",-13365.8854216188,3,TRUE
2014,"counterfactual",-326759.774543509,3,TRUE
2014,"additionality",313393.88912189,3,TRUE
2015,"project",-233767.529823065,3,TRUE
2015,"counterfactual",-147259.545732871,3,TRUE
2015,"additionality",-86507.9840901941,3,TRUE
2016,"project",-229116.56293653,3,TRUE
2016,"counterfactual",-326317.255364001,3,TRUE
2016,"additionality",97200.6924274713,3,TRUE
2017,"project",-170744.670759112,3,TRUE
2017,"counterfactual",-197679.639184743,3,TRUE
2017,"additionality",26934.9684256315,3,TRUE
2018,"project",-104493.227885559,3,TRUE
2018,"counterfactual",-224501.720064595,3,TRUE
2018,"additionality",120008.492179036,3,TRUE
2019,"project",-115560.72287488,3,TRUE
2019,"counterfactual",-176411.625557825,3,TRUE
2019,"additionality",60850.9026829451,3,TRUE
2020,"project",-217872.963375777,3,TRUE
2020,"counterfactual",-291656.263304472,3,TRUE
2020,"additionality",73783.299928695,3,TRUE
2021,"project",-183519.025440797,3,TRUE
2021,"counterfactual",-260905.69583112,3,TRUE
2021,"additionality",77386.6703903228,3,TRUE
1991,"project",-86304.7865077853,4,FALSE
1991,"counterfactual",-58408.016192019,4,FALSE
1991,"additionality",-27896.7703157663,4,FALSE
1992,"project",-48586.7997082323,4,FALSE
1992,"counterfactual",-28041.2663743794,4,FALSE
1992,"additionality",-20545.5333338529,4,FALSE
1993,"project",-24293.3998541236,4,FALSE
1993,"counterfactual",-48586.7997082621,4,FALSE
1993,"additionality",24293.3998541385,4,FALSE
1994,"project",-31789.1328946203,4,FALSE
1994,"counterfactual",-100921.465936765,4,FALSE
1994,"additionality",69132.3330421448,4,FALSE
1995,"project",-62155.8827123046,4,FALSE
1995,"counterfactual",-113068.165863782,4,FALSE
1995,"additionality",50912.2831514776,4,FALSE
1996,"project",-128059.631944805,4,FALSE
1996,"counterfactual",-165258.336033732,4,FALSE
1996,"additionality",37198.7040889263,4,FALSE
1997,"project",-106091.715533957,4,FALSE
1997,"counterfactual",-140206.331871852,4,FALSE
1997,"additionality",34114.6163378954,4,FALSE
1998,"project",-421002.813271299,4,FALSE
1998,"counterfactual",-262192.613853157,4,FALSE
1998,"additionality",-158810.199418142,4,FALSE
1999,"project",-464554.828437284,4,FALSE
1999,"counterfactual",-371512.913196728,4,FALSE
1999,"additionality",-93041.915240556,4,FALSE
2000,"project",-520732.186724499,4,FALSE
2000,"counterfactual",-239705.414731652,4,FALSE
2000,"additionality",-281026.771992847,4,FALSE
2001,"project",-141339.722831607,4,FALSE
2001,"counterfactual",-325481.887525171,4,FALSE
2001,"additionality",184142.164693564,4,FALSE
2002,"project",-112923.669805214,4,FALSE
2002,"counterfactual",-124253.063900709,4,FALSE
2002,"additionality",11329.3940954953,4,FALSE
2003,"project",-192626.792635158,4,FALSE
2003,"counterfactual",-231536.871918276,4,FALSE
2003,"additionality",38910.0792831182,4,FALSE
2004,"project",-129134.321380749,4,FALSE
2004,"counterfactual",-139917.339754671,4,FALSE
2004,"additionality",10783.0183739215,4,FALSE
2005,"project",-104755.126991779,4,FALSE
2005,"counterfactual",-368984.232170984,4,FALSE
2005,"additionality",264229.105179206,4,FALSE
2006,"project",-296691.047846735,4,FALSE
2006,"counterfactual",-217967.788914248,4,FALSE
2006,"additionality",-78723.2589324862,4,FALSE
2007,"project",-438405.5573304,4,FALSE
2007,"counterfactual",-264373.601237804,4,FALSE
2007,"additionality",-174031.956092596,4,FALSE
2008,"project",-168103.102187604,4,TRUE
2008,"counterfactual",-145846.193659559,4,TRUE
2008,"additionality",-22256.9085280448,4,TRUE
2009,"project",-180105.306056097,4,TRUE
2009,"counterfactual",-287330.412549794,4,TRUE
2009,"additionality",107225.106493697,4,TRUE
2010,"project",-137447.360252723,4,TRUE
2010,"counterfactual",-285004.929106474,4,TRUE
2010,"additionality",147557.568853751,4,TRUE
2011,"project",-151824.718084648,4,TRUE
2011,"counterfactual",-115709.73443535,4,TRUE
2011,"additionality",-36114.9836492985,4,TRUE
2012,"project",-286716.304300666,4,TRUE
2012,"counterfactual",-169669.981323197,4,TRUE
2012,"additionality",-117046.322977468,4,TRUE
2013,"project",-468532.985550955,4,TRUE
2013,"counterfactual",-265506.992197573,4,TRUE
2013,"additionality",-203025.993353382,4,TRUE
2014,"project",-14499.2763813585,4,TRUE
2014,"counterfactual",-310192.398323253,4,TRUE
2014,"additionality",295693.121941894,4,TRUE
2015,"project",-246817.330116451,4,TRUE
2015,"counterfactual",-129567.809556559,4,TRUE
2015,"additionality",-117249.520559892,4,TRUE
2016,"project",-283514.813502073,4,TRUE
2016,"counterfactual",-249517.600211784,4,TRUE
2016,"additionality",-33997.213290289,4,TRUE
2017,"project",-203667.194613501,4,TRUE
2017,"counterfactual",-236734.21452646,4,TRUE
2017,"additionality",33067.0199129581,4,TRUE
2018,"project",-78949.0340240747,4,TRUE
2018,"counterfactual",-263497.593882471,4,TRUE
2018,"additionality",184548.559858397,4,TRUE
2019,"project",-45037.615268603,4,TRUE
2019,"counterfactual",-247688.821969986,4,TRUE
2019,"additionality",202651.206701383,4,TRUE
2020,"project",-199133.630774513,4,TRUE
2020,"counterfactual",-307934.647407472,4,TRUE
